 #             q                 psi(q)
          0.0115033829       -2.1462565656
          0.0213154895       -2.1403923481
          0.0340908735       -2.1242979234
          0.0497908600       -2.0921100068
          0.0683741946       -2.0380895506
          0.0898007680       -1.9579398723
          0.1140356841       -1.8501770645
          0.1410535753       -1.7170064187
          0.1708430913       -1.5642086787
          0.2034115207       -1.3999612572
          0.2387895516       -1.2330617181
          0.2770362229       -1.0712728082
          0.3182441709       -0.9203139556
          0.3625453321       -0.7836081263
          0.4101173192       -0.6625744398
          0.4611907577       -0.5571653469
          0.5160579467       -0.4664164777
          0.5750833095       -0.3888910957
          0.6387162255       -0.3229891521
          0.7075070081       -0.2671371763
          0.7821270256       -0.2198903011
          0.8633942859       -0.1799765360
          0.9523062594       -0.1463064211
          1.0500823554       -0.1179637160
          1.1582193864       -0.0941867450
          1.2785646926       -0.0743457530
          1.4134135614       -0.0579188498
          1.5656405148       -0.0444675088
          1.7388784956       -0.0336119651
          1.9377668853       -0.0250072813
          2.1683001735       -0.0183224692
          2.4383266765       -0.0132276358
          2.7582757561       -0.0093959538
          3.1422413712       -0.0065243119
          3.6096362762       -0.0043650617
          4.1877879212       -0.0027472947
          4.9161423931       -0.0015692940
          5.8533241967       -0.0007691693
          7.0895048046       -0.0002938120
          8.7691849102       -0.0000732130
         11.1357622291       -0.0000084328
